SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,20,210,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.348885
3,8.192,16,10,protocol,7.5,20,210,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.463256
4,10.24,20,10,protocol,7.5,20,210,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.389132
5,12.288,24,10,protocol,7.5,20,210,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.454248
6,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.419375
7,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.441796
8,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.420634
9,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.435791
10,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.420547
11,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.434443
12,12.288,24,10,protocol,7.5,30,400,13.3333,20,20,1,1,1,1,1,1,1,1,1,1,0.422992
13,12.288,24,10,protocol,7.5,30,400,13.3333,18,18,1,1,1,1,1,1,1,1,1,1,0.432877
14,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.423004
15,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.431335
16,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.423421
17,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.430283
18,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.423029
19,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.429118
20,12.288,24,10,protocol,7.5,30,400,13.3333,0,0,0,1,1,1,1,1,1,1,1,1,0.422724
21,12.288,24,10,protocol,7.5,30,397,13.2333,0,0,0,1,1,1,1,1,1,1,1,1,0.429157
